Rank;Sourceid;Title;Issn;SJR;SJR Best Quartile;Year;Categories
1;28773;Ca-A Cancer Journal for Clinicians;15424863, 00079235;35,501;Q1;2015;"Hematology (Q1); Oncology (Q1)"
2;20651;Annual Review of Immunology;15453278, 07320582;32,805;Q1;2015;"Immunology (Q1); Immunology and Allergy (Q1)"
3;18991;Nature Reviews Genetics;14710056, 14710064;32,553;Q1;2015;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
4;71709;Rhinology. Supplement;10130047;30,387;Q1;2015;Medicine (miscellaneous) (Q1)
5;20315;Nature Reviews Molecular Cell Biology;14710072, 14710080;29,354;Q1;2015;"Cell Biology (Q1); Molecular Biology (Q1)"
6;18434;Cell;00928674, 10974172;27,712;Q1;2015;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
7;21318;Nature Reviews Immunology;14741741, 14741733;26,399;Q1;2015;"Immunology (Q1); Medicine (miscellaneous) (Q1)"
8;58530;National Vital Statistics Reports;15518922, 15518930;25,709;Q1;2015;Life-span and Life-course Studies (Q1)
9;12464;Nature Reviews Cancer;1474175X, 14741768;25,056;Q1;2015;"Cancer Research (Q1); Oncology (Q1)"
10;20111;"Vital &amp; health statistics. Series 3, Analytical and epidemiological studies / [U.S. Dept. of Health and Human Services, Public Health Service, National Center for Health Statistics]";8864691;24,786;Q1;2015;Medicine (miscellaneous) (Q1)
11;16801;Annual Review of Biochemistry;15454509, 00664154;24,589;Q1;2015;Biochemistry (Q1)
12;29719;Reviews of Modern Physics;00346861, 15390756;24,493;Q1;2015;Physics and Astronomy (miscellaneous) (Q1)
13;18990;Nature Genetics;10614036, 15461718;24,157;Q1;2015;Genetics (Q1)
14;29431;Quarterly Journal of Economics;00335533, 15314650;22,572;Q1;2015;Economics and Econometrics (Q1)
15;21100778827;Nature Methods;15487091, 15487105;21,488;Q1;2015;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
16;21206;Nature;14764687, 00280836;19,669;Q1;2015;Multidisciplinary (Q1)
17;19434;MMWR Recommendations and Reports;10575987, 15458601;19,166;Q1;2015;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
18;5200152704;Nature Nanotechnology;17483387, 17483395;18,842;Q1;2015;"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
19;16115;Nature Biotechnology;15461696, 10870156;18,263;Q1;2015;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
20;23340;Chemical Reviews;15206890, 00092665;18,035;Q1;2015;Chemistry (miscellaneous) (Q1)
21;24004;Physiological Reviews;15221210, 00319333;17,706;Q1;2015;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
22;5700165152;Nature Photonics;17494885;17,275;Q1;2015;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
23;19900191906;Academy of Management Annals;19416520, 19416067;16,908;Q1;2015;"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)"
24;15847;New England Journal of Medicine;00284793, 15334406;16,591;Q1;2015;Medicine (miscellaneous) (Q1)
25;14181;Annual Review of Neuroscience;0147006X, 15454126;16,464;Q1;2015;Neuroscience (miscellaneous) (Q1)
26;17854;Nature Materials;14764660, 14761122;16,382;Q1;2015;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
27;17500;Journal of Finance;00221082, 15406261;16,246;Q1;2015;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
28;20798;Immunity;10974180, 10747613;16,126;Q1;2015;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
29;20313;Nature Reviews Microbiology;17401534, 17401526;15,714;Q1;2015;Immunology and Microbiology (miscellaneous)  (Q1)
30;16590;Lancet, The;01406736, 1474547X;14,974;Q1;2015;Medicine (miscellaneous) (Q1)
31;17437;Nature Reviews Neuroscience;14710048, 1471003X;14,865;Q1;2015;Neuroscience (miscellaneous) (Q1)
32;22214;Genome Research;15495469, 10889051;14,278;Q1;2015;"Genetics (Q1); Genetics (clinical) (Q1)"
33;23350;Chemical Society Reviews;03060012, 14604744;14,214;Q1;2015;Chemistry (miscellaneous) (Q1)
34;28677;Living Reviews in Relativity;14338351, 23673613;14,152;Q1;2015;Physics and Astronomy (miscellaneous) (Q1)
35;19014;Nature Cell Biology;14764679, 14657392;14,151;Q1;2015;Cell Biology (Q1)
36;21706;Annual Review of Genetics;15452948, 00664197;13,982;Q1;2015;Genetics (Q1)
37;12354;Lancet Oncology, The;14702045, 14745488;13,951;Q1;2015;Oncology (Q1)
38;11300153736;Annual Review of Pathology: Mechanisms of Disease;15534006, 15534014;13,788;Q1;2015;"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
39;19700188417;Annual Review of Condensed Matter Physics;19475454, 19475462;13,78;Q1;2015;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
40;29093;Cancer Cell;15356108, 18783686;13,74;Q1;2015;"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)"
41;19482;Econometrica;00129682, 14680262;13,734;Q1;2015;Economics and Econometrics (Q1)
42;18395;Annual Review of Cell and Developmental Biology;15308995, 10810706;13,692;Q1;2015;"Cell Biology (Q1); Developmental Biology (Q1)"
43;18606;Molecular Cell;10974164, 10972765;13,587;Q1;2015;"Cell Biology (Q1); Molecular Biology (Q1)"
44;17436;Nature Neuroscience;10976256, 15461726;13,47;Q1;2015;Neuroscience (miscellaneous) (Q1)
45;6100153018;Cell Stem Cell;19345909;13,002;Q1;2015;"Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)"
46;4000151822;Nature Physics;17452473;12,944;Q1;2015;Physics and Astronomy (miscellaneous) (Q1)
47;23571;Science;10959203, 00368075;12,872;Q1;2015;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
48;16721;Annual Review of Plant Biology;15452123, 15435008;12,787;Q1;2015;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
49;12010;Annual Review of Psychology;00664308, 15452085;12,781;Q1;2015;Psychology (miscellaneous) (Q1)
50;15819;Nature Medicine;1546170X, 10788956;12,642;Q1;2015;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
51;5400152633;NIH consensus and state-of-the-science statements;15530779, 15530957;12,078;Q1;2015;Medicine (miscellaneous) (Q1)
52;20425;Nature Reviews Drug Discovery;14741784, 14741776;12,019;Q1;2015;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
53;146172;Cell Metabolism;15504131;11,858;Q1;2015;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)"
54;16860;Lancet Neurology, The;14744465, 14744422;11,799;Q1;2015;Neurology (clinical) (Q1)
55;21315;Nature Immunology;15292908, 15292916;11,699;Q1;2015;Immunology (Q1)
56;22126;Genes and Development;15495477, 08909369;11,598;Q1;2015;"Developmental Biology (Q1); Genetics (Q1)"
57;22471;Lancet Infectious Diseases, The;14744457, 14733099;11,595;Q1;2015;Infectious Diseases (Q1)
58;17978;Neuron;10974199, 08966273;11,412;Q1;2015;Neuroscience (miscellaneous) (Q1)
59;19700188395;Annual Review of Marine Science;19410611, 19411405;11,289;Q1;2015;Oceanography (Q1)
60;12394;Nature Structural and Molecular Biology;15459993, 15459985;11,288;Q1;2015;"Molecular Biology (Q1); Structural Biology (Q1)"
61;120008;Annual Review of Physiology;00664278, 15451585;11,168;Q1;2015;Physiology (Q1)
62;18100156701;Nature Chemistry;17554330, 17554349;11,144;Q1;2015;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
63;20278;Microbiology and Molecular Biology Reviews;10985557, 10922172;11,125;Q1;2015;"Immunology and Microbiology (miscellaneous)  (Q1); Molecular Biology (Q1)"
64;17899;Progress in Materials Science;18732208, 00796425;11,083;Q1;2015;Materials Science (miscellaneous) (Q1)
65;26978;Advances in Physics;14606976, 00018732;11,059;Q1;2015;Condensed Matter Physics (Q1)
66;14365;Trends in Ecology and Evolution;01695347, 18728383;11,059;Q1;2015;Ecology, Evolution, Behavior and Systematics (Q1)
67;20191;Academy of Management Journal;14273;11,053;Q1;2015;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
68;16161;Review of Financial Studies;14657368, 08939454;10,873;Q1;2015;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
69;24379;Journal of Financial Economics;0304405X;10,802;Q1;2015;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
70;22657;Accounts of Chemical Research;00014842, 15204898;10,775;Q1;2015;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
71;21272;Journal of Experimental Medicine;00221007, 15409538;10,719;Q1;2015;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
72;22401;Journal of the American College of Cardiology;15583597, 07351097;10,686;Q1;2015;Cardiology and Cardiovascular Medicine (Q1)
73;27165;Journal of Economic Literature;220515;10,637;Q1;2015;Economics and Econometrics (Q1)
74;16036;Administrative Science Quarterly;00018392, 19303815;10,532;Q1;2015;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
75;15359;Trends in Cognitive Sciences;1879307X, 13646613;10,312;Q1;2015;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
76;24202;Review of Economic Studies;00346527, 1467937X;10,291;Q1;2015;Economics and Econometrics (Q1)
