Rank;Sourceid;Title;Issn;SJR;SJR Best Quartile;Year;Categories
1;28773;Ca-A Cancer Journal for Clinicians;15424863, 00079235;62,937;Q1;2020;"Hematology (Q1); Oncology (Q1)"
2;19434;MMWR Recommendations and Reports;10575987, 15458601;40,949;Q1;2020;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
3;20315;Nature Reviews Molecular Cell Biology;14710072, 14710080;37,461;Q1;2020;"Cell Biology (Q1); Molecular Biology (Q1)"
4;29431;Quarterly Journal of Economics;00335533, 15314650;34,573;Q1;2020;Economics and Econometrics (Q1)
5;21100812243;Nature Reviews Materials;20588437;32,011;Q1;2020;"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
6;58530;National Vital Statistics Reports;15518922, 15518930;28,083;Q1;2020;Life-span and Life-course Studies (Q1)
7;18434;Cell;00928674, 10974172;26,304;Q1;2020;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
8;18991;Nature Reviews Genetics;14710056, 14710064;26,214;Q1;2020;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
9;29719;Reviews of Modern Physics;00346861, 15390756;24,877;Q1;2020;Physics and Astronomy (miscellaneous) (Q1)
10;24404;Journal of Political Economy;00223808, 1537534X;21,034;Q1;2020;Economics and Econometrics (Q1)
11;21318;Nature Reviews Immunology;14741741, 14741733;20,529;Q1;2020;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
12;23340;Chemical Reviews;15206890, 00092665;20,528;Q1;2020;Chemistry (miscellaneous) (Q1)
13;71056;MMWR Surveillance Summaries;15458636, 15460738;19,961;Q1;2020;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
14;15847;New England Journal of Medicine;00284793, 15334406;19,889;Q1;2020;Medicine (miscellaneous) (Q1)
15;21100812579;Nature Energy;20587546;19,733;Q1;2020;"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
16;12464;Nature Reviews Cancer;1474175X, 14741768;19,575;Q1;2020;"Cancer Research (Q1); Oncology (Q1)"
17;15819;Nature Medicine;1546170X, 10788956;19,536;Q1;2020;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
18;21100778827;Nature Methods;15487091, 15487105;19,469;Q1;2020;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
19;18990;Nature Genetics;10614036, 15461718;18,861;Q1;2020;Genetics (Q1)
20;19900191906;Academy of Management Annals;19416520, 19416067;18,318;Q1;2020;"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)"
21;20651;Annual Review of Immunology;15453278, 07320582;18,301;Q1;2020;"Immunology (Q1); Immunology and Allergy (Q1)"
22;17500;Journal of Finance;00221082, 15406261;18,151;Q1;2020;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
23;22697;American Economic Review;28282;16,936;Q1;2020;Economics and Econometrics (Q1)
24;16801;Annual Review of Biochemistry;15454509, 00664154;16,921;Q1;2020;Biochemistry (Q1)
25;19482;Econometrica;00129682, 14680262;16,7;Q1;2020;Economics and Econometrics (Q1)
26;21100826569;Nature Reviews Chemistry;23973358;16,465;Q1;2020;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
27;21206;Nature;14764687, 00280836;15,993;Q1;2020;Multidisciplinary (Q1)
28;24202;Review of Economic Studies;00346527, 1467937X;15,641;Q1;2020;Economics and Econometrics (Q1)
29;23350;Chemical Society Reviews;03060012, 14604744;15,598;Q1;2020;Chemistry (miscellaneous) (Q1)
30;6200180159;World Psychiatry;17238617;15,51;Q1;2020;Psychiatry and Mental Health (Q1)
31;16115;Nature Biotechnology;15461696, 10870156;15,358;Q1;2020;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
32;16036;Administrative Science Quarterly;00018392, 19303815;15,098;Q1;2020;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
33;17500155114;Energy and Environmental Science;17545692, 17545706;14,486;Q1;2020;"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
34;17854;Nature Materials;14764660, 14761122;14,344;Q1;2020;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
35;21100862548;Nature Catalysis;25201158;14,33;Q1;2020;"Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1)"
36;5200152704;Nature Nanotechnology;17483387, 17483395;14,308;Q1;2020;"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
37;20798;Immunity;10974180, 10747613;14,286;Q1;2020;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
