Rank;Sourceid;Title;Issn;SJR;SJR Best Quartile;Year;Categories
38;24004;Physiological Reviews;15221210, 00319333;13,853;Q1;2020;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
39;5700165152;Nature Photonics;17494885;13,674;Q1;2020;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
40;12354;Lancet Oncology, The;14702045, 14745488;13,53;Q1;2020;Oncology (Q1)
41;17436;Nature Neuroscience;10976256, 15461726;13,403;Q1;2020;Neuroscience (miscellaneous) (Q1)
42;16590;Lancet, The;01406736, 1474547X;13,103;Q1;2020;Medicine (miscellaneous) (Q1)
43;29093;Cancer Cell;15356108, 18783686;13,035;Q1;2020;"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)"
44;19900191767;American Economic Journal: Applied Economics;19457790, 19457782;12,996;Q1;2020;Economics, Econometrics and Finance (miscellaneous) (Q1)
45;16161;Review of Financial Studies;14657368, 08939454;12,8;Q1;2020;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
46;16860;Lancet Neurology, The;14744465, 14744422;12,776;Q1;2020;Neurology (clinical) (Q1)
47;18606;Molecular Cell;10974164, 10972765;12,615;Q1;2020;"Cell Biology (Q1); Molecular Biology (Q1)"
48;23571;Science;10959203, 00368075;12,556;Q1;2020;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
49;21100834904;Joule;25424351;12,532;Q1;2020;Energy (miscellaneous) (Q1)
50;17700156734;Nature Reviews Clinical Oncology;17594782, 17594774;12,214;Q1;2020;Oncology (Q1)
51;27165;Journal of Economic Literature;220515;11,771;Q1;2020;Economics and Econometrics (Q1)
52;16721;Annual Review of Plant Biology;15452123, 15435008;11,695;Q1;2020;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
53;24379;Journal of Financial Economics;0304405X;11,673;Q1;2020;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
54;17437;Nature Reviews Neuroscience;14710048, 1471003X;11,585;Q1;2020;Neuroscience (miscellaneous) (Q1)
55;28677;Living Reviews in Relativity;14338351, 23673613;11,551;Q1;2020;Physics and Astronomy (miscellaneous) (Q1)
56;20313;Nature Reviews Microbiology;17401534, 17401526;11,496;Q1;2020;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)"
57;19014;Nature Cell Biology;14764679, 14657392;11,38;Q1;2020;Cell Biology (Q1)
58;20191;Academy of Management Journal;14273;11,193;Q1;2020;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
59;18395;Annual Review of Cell and Developmental Biology;15308995, 10810706;11,094;Q1;2020;"Cell Biology (Q1); Developmental Biology (Q1)"
60;23157;Strategic Management Journal;10970266, 01432095;11,035;Q1;2020;"Business and International Management (Q1); Strategy and Management (Q1)"
61;21706;Annual Review of Genetics;15452948, 00664197;10,88;Q1;2020;Genetics (Q1)
62;26756;Astronomy and Astrophysics Review;09354956, 14320754;10,857;Q1;2020;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
63;13443;Psychological Bulletin;00332909, 19391455;10,737;Q1;2020;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
64;21100780831;Nature Reviews Disease Primers;2056676X;10,718;Q1;2020;Medicine (miscellaneous) (Q1)
65;19881;Advanced Materials;09359648, 15214095;10,707;Q1;2020;"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)"
66;29949;Journal of Clinical Oncology;15277755, 0732183X;10,482;Q1;2020;"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
67;120008;Annual Review of Physiology;00664278, 15451585;10,475;Q1;2020;Physiology (Q1)
68;19900191885;American Economic Journal: Macroeconomics;19457707, 19457715;10,443;Q1;2020;Economics, Econometrics and Finance (miscellaneous) (Q1)
69;12010;Annual Review of Psychology;00664308, 15452085;10,358;Q1;2020;Psychology (miscellaneous) (Q1)
70;146172;Cell Metabolism;15504131;10,326;Q1;2020;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)"
71;22401;Journal of the American College of Cardiology;15583597, 07351097;10,315;Q1;2020;Cardiology and Cardiovascular Medicine (Q1)
72;14181;Annual Review of Neuroscience;0147006X, 15454126;10,219;Q1;2020;Neuroscience (miscellaneous) (Q1)
73;21100972445;Nature Reviews Physics;25225820;10,12;Q1;2020;Physics and Astronomy (miscellaneous) (Q1)
74;21100199127;Advanced Energy Materials;16146832, 16146840;10,08;Q1;2020;"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
75;18100156701;Nature Chemistry;17554330, 17554349;9,996;Q1;2020;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
76;20425;Nature Reviews Drug Discovery;14741784, 14741776;9,921;Q1;2020;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
77;21100863710;Annual Review of Organizational Psychology and Organizational Behavior;23270608;9,807;Q1;2020;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)"
78;19897;European Urology;03022838, 1421993X;9,799;Q1;2020;Urology (Q1)
79;12812;Personality and Social Psychology Review;10888683, 15327957;9,757;Q1;2020;Social Psychology (Q1)
80;28980;Journal of Economic Perspectives;8953309;9,614;Q1;2020;Economics and Econometrics (Q1)
81;17978;Neuron;10974199, 08966273;9,612;Q1;2020;Neuroscience (miscellaneous) (Q1)
82;21100884663;Nature Electronics;25201131;9,569;Q1;2020;"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)"
83;22214;Genome Research;15495469, 10889051;9,556;Q1;2020;"Genetics (Q1); Genetics (clinical) (Q1)"
84;12394;Nature Structural and Molecular Biology;15459993, 15459985;9,448;Q1;2020;"Molecular Biology (Q1); Structural Biology (Q1)"
85;11300153736;Annual Review of Pathology: Mechanisms of Disease;15534006, 15534014;9,417;Q1;2020;"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
86;21100203106;Foundations and Trends in Finance;15672409, 15672395;9,231;Q1;2020;"Economics and Econometrics (Q1); Finance (Q1)"
87;19651;Clinical Microbiology Reviews;08938512, 10986618;9,177;Q1;2020;"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
88;17899;Progress in Materials Science;18732208, 00796425;9,172;Q1;2020;Materials Science (miscellaneous) (Q1)
89;4000151822;Nature Physics;17452473;9,157;Q1;2020;Physics and Astronomy (miscellaneous) (Q1)
90;12000154482;Annual Review of Biophysics;19361238, 1936122X;9,144;Q1;2020;"Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1)"
91;21315;Nature Immunology;15292908, 15292916;9,074;Q1;2020;"Immunology (Q1); Immunology and Allergy (Q1)"
92;21100220495;Lancet Respiratory Medicine,The;22132619, 22132600;9,03;Q1;2020;Pulmonary and Respiratory Medicine (Q1)
93;40944;Genome Biology;14747596;9,027;Q1;2020;"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
94;14204;Nucleic Acids Research;03051048, 13624962;9,008;Q1;2020;Genetics (Q1)
95;24204;Review of Economics and Statistics;00346535, 15309142;8,999;Q1;2020;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
96;22899;Journal of Consumer Research;00935301, 15375277;8,916;Q1;2020;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
97;6100153018;Cell Stem Cell;19345909;8,86;Q1;2020;"Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)"
98;17600155130;NCHS data brief;19414927, 19414935;8,856;Q1;2020;Medicine (miscellaneous) (Q1)
99;21100420583;JAMA Oncology;23742445, 23742437;8,846;Q1;2020;"Cancer Research (Q1); Oncology (Q1)"
100;21100860945;Science immunology;24709468;8,83;Q1;2020;"Immunology (Q1); Immunology and Allergy (Q1)"
101;17700156208;Nature Reviews Gastroenterology and Hepatology;17595045, 17595053;8,801;Q1;2020;"Gastroenterology (Q1); Hepatology (Q1)"
102;19066;Trends in Cell Biology;09628924, 18793088;8,705;Q1;2020;Cell Biology (Q1)
103;21100832985;ACS Energy Letters;23808195;8,632;Q1;2020;"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
104;21100237403;Lancet Diabetes and Endocrinology,The;22138595, 22138587;8,596;Q1;2020;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
105;24668;Journal of the American Mathematical Society;10886834, 08940347;8,574;Q1;2020;"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
106;4700152228;Molecular Systems Biology;17444292;8,523;Q1;2020;"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
107;21272;Journal of Experimental Medicine;00221007, 15409538;8,483;Q1;2020;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
108;22657;Accounts of Chemical Research;00014842, 15204898;8,454;Q1;2020;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
109;20206;Academy of Management Review;3637425;8,446;Q1;2020;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
110;28366;Gut;14683288, 00175749;8,413;Q1;2020;Gastroenterology (Q1)
111;17814;Materials Science and Engineering: R: Reports;0927796X;8,366;Q1;2020;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
112;19700188417;Annual Review of Condensed Matter Physics;19475454, 19475462;8,316;Q1;2020;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
113;11700154368;Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques;16181913, 00738301;8,298;Q1;2020;Mathematics (miscellaneous) (Q1)
114;4600151524;Annual Review of Clinical Psychology;15485951, 15485943;8,259;Q1;2020;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
115;20246;Journal of Labor Economics;0734306X, 15375307;8,184;Q1;2020;"Economics and Econometrics (Q1); Industrial Relations (Q1)"
116;21191;Pharmacological Reviews;15210081, 00316997;8,176;Q1;2020;"Molecular Medicine (Q1); Pharmacology (Q1)"
117;27538;Progress in Energy and Combustion Science;3601285;8,089;Q1;2020;"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)"
118;28599;Reviews of Geophysics;87551209;8,087;Q1;2020;Geophysics (Q1)
119;24769;Materials Today;13697021;8,071;Q1;2020;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
120;21100904988;Trends in Chemistry;25895974;8,037;Q1;2020;Chemistry (miscellaneous) (Q1)
121;24721;Annals of Mathematics;0003486X;8,01;Q1;2020;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
122;110092;Morbidity and Mortality Weekly Report;01492195, 1545861X;7,992;Q1;2020;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
123;5300152732;Cell Host and Microbe;19313128;7,985;Q1;2020;"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)"
124;21100265444;Lancet Global Health,The;2214109X;7,97;Q1;2020;Medicine (miscellaneous) (Q1)
125;28711;Annals of Oncology;15698041, 09237534;7,954;Q1;2020;"Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
126;21100201772;Physical Review X;21603308;7,94;Q1;2020;Physics and Astronomy (miscellaneous) (Q1)
127;19900191884;American Economic Journal: Economic Policy;19457731, 1945774X;7,868;Q1;2020;Economics, Econometrics and Finance (miscellaneous) (Q1)
128;28330;Gastroenterology;15280012, 00165085;7,828;Q1;2020;"Gastroenterology (Q1); Hepatology (Q1)"
129;19614;Annual Review of Microbiology;00664227, 15453251;7,817;Q1;2020;"Medicine (miscellaneous) (Q1); Microbiology (Q1)"
130;22951;Journal of Marketing;15477185, 00222429;7,799;Q1;2020;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
131;22581;Circulation;00097322, 15244539;7,795;Q1;2020;"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)"
132;7500153126;Journal of the European Economic Association;15424774, 15424766;7,792;Q1;2020;Economics, Econometrics and Finance (miscellaneous) (Q1)
133;18567;Fungal Diversity;15602745, 18789129;7,743;Q1;2020;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
134;17700156440;Nature Reviews Endocrinology;17595037, 17595029;7,653;Q1;2020;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
135;21100394875;Cell Systems;24054712;7,638;Q1;2020;"Cell Biology (Q1); Histology (Q1); Pathology and Forensic Medicine (Q1)"
136;12137;Journal of Statistical Software;15487660;7,636;Q1;2020;"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
137;21100228547;JAMA Psychiatry;21686238, 2168622X;7,531;Q1;2020;"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
138;29709;Reports on Progress in Physics;13616633, 00344885;7,53;Q1;2020;"Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
139;20635;Journal of Management;01492063, 15571211;7,491;Q1;2020;"Finance (Q1); Strategy and Management (Q1)"
140;17435;EMBO Journal;02614189, 14602075;7,484;Q1;2020;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
141;22471;Lancet Infectious Diseases, The;14744457, 14733099;7,475;Q1;2020;Infectious Diseases (Q1)
142;5800207366;Nature Protocols;17542189;7,471;Q1;2020;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
143;21100356804;Lancet Psychiatry,The;22150374, 22150366;7,447;Q1;2020;"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
144;13900;Cell Research;17487838, 10010602;7,395;Q1;2020;"Cell Biology (Q1); Molecular Biology (Q1)"
145;21100778657;Acta Crystallographica Section D: Structural Biology;20597983;7,374;Q1;2020;Structural Biology (Q1)
146;21789;Manufacturing and Service Operations Management;15265498, 15234614;7,372;Q1;2020;"Management Science and Operations Research (Q1); Strategy and Management (Q1)"
147;21100773752;Nature Microbiology;20585276;7,305;Q1;2020;"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1)"
148;12429;Molecular Cancer;14764598;7,274;Q1;2020;"Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1)"
149;17700156408;Nature Reviews Neurology;17594766, 17594758;7,271;Q1;2020;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)"
150;21100804406;Lancet Public Health, The;24682667;7,226;Q1;2020;Public Health, Environmental and Occupational Health (Q1)
151;15090;Progress in Retinal and Eye Research;13509462, 18731635;7,198;Q1;2020;"Ophthalmology (Q1); Sensory Systems (Q1)"
152;17552;Acta Neuropathologica;00016322, 14320533;7,183;Q1;2020;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
153;19700200701;Annual Review of Economics;19411383, 19411391;7,162;Q1;2020;Economics and Econometrics (Q1)
154;29488;Progress in Particle and Nuclear Physics;1466410;7,159;Q1;2020;Nuclear and High Energy Physics (Q1)
155;22126;Genes and Development;15495477, 08909369;7,136;Q1;2020;"Developmental Biology (Q1); Genetics (Q1)"
156;28418;Brookings Papers on Economic Activity;00072303, 15334465;7,134;Q1;2020;"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)"
157;14305;Systematic Biology;1076836X, 10635157;7,128;Q1;2020;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
158;22680;Journal of the American Chemical Society;15205126, 00027863;7,115;Q1;2020;"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)"
159;25297;Journal of Hepatology;16000641, 01688278;7,112;Q1;2020;Hepatology (Q1)
160;23860;Journal of Business Venturing;8839026;7,107;Q1;2020;"Business and International Management (Q1); Management of Technology and Innovation (Q1)"
161;21100788876;Chem;24519294;7,057;Q1;2020;"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1)"
162;13461;Psychological Methods;1082989X, 19391463;6,981;Q1;2020;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
163;22324;Organization Science;15265455, 10477039;6,96;Q1;2020;"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
164;29229;Physics Reports;3701573;6,914;Q1;2020;Physics and Astronomy (miscellaneous) (Q1)
165;19700173023;Living Reviews in Solar Physics;16144961, 23673648;6,861;Q1;2020;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
166;15359;Trends in Cognitive Sciences;1879307X, 13646613;6,857;Q1;2020;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
167;14599;Ecology Letters;1461023X, 14610248;6,852;Q1;2020;Ecology, Evolution, Behavior and Systematics (Q1)
168;20810;Immunological Reviews;01052896, 1600065X;6,839;Q1;2020;"Immunology (Q1); Immunology and Allergy (Q1)"
169;19700174677;Science Translational Medicine;19466234, 19466242;6,819;Q1;2020;Medicine (miscellaneous) (Q1)
170;21100212318;Cancer Discovery;21598274, 21598290;6,795;Q1;2020;Oncology (Q1)
171;29857;Journal of Accounting Research;1475679X, 00218456;6,767;Q1;2020;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
172;21100198409;Nature Climate Change;17586798, 1758678X;6,749;Q1;2020;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
173;3600148102;Alzheimer's and Dementia;15525279, 15525260;6,713;Q1;2020;"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
174;21677;American Journal of Human Genetics;15376605, 00029297;6,661;Q1;2020;"Genetics (Q1); Genetics (clinical) (Q1)"
175;21100228100;Advances in Optics and Photonics;19438206;6,638;Q1;2020;"Atomic and Molecular Physics, and Optics (Q1); Water Science and Technology (Q1)"
176;12216;Molecular Biology and Evolution;15371719, 07374038;6,637;Q1;2020;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)"
177;25491;Diabetes Care;19355548, 01495992;6,636;Q1;2020;"Advanced and Specialized Nursing (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
178;29838;Journal of Accounting and Economics;1654101;6,607;Q1;2020;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
179;17900156715;IEEE Communications Surveys and Tutorials;1553877X;6,605;Q1;2020;Electrical and Electronic Engineering (Q1)
180;13531;Journal of the Royal Statistical Society. Series B: Statistical Methodology;14679868, 13697412;6,523;Q1;2020;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
181;15388;Journal of Applied Psychology;19391854, 00219010;6,522;Q1;2020;Applied Psychology (Q1)
182;14365;Trends in Ecology and Evolution;01695347, 18728383;6,476;Q1;2020;Ecology, Evolution, Behavior and Systematics (Q1)
183;4000148205;Nature Chemical Biology;15524469, 15524450;6,412;Q1;2020;"Cell Biology (Q1); Molecular Biology (Q1)"
184;20278;Microbiology and Molecular Biology Reviews;10985557, 10922172;6,358;Q1;2020;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1); Molecular Biology (Q1)"
185;26038;Endocrine Reviews;19457189, 0163769X;6,357;Q1;2020;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
186;21365;Trends in Immunology;14714906, 14714981;6,349;Q1;2020;"Immunology (Q1); Immunology and Allergy (Q1)"
187;15555;American Journal of Political Science;00925853, 15405907;6,347;Q1;2020;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
188;19136;Annals of the Rheumatic Diseases;00034967, 14682060;6,333;Q1;2020;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)"
189;22961;Journal of Marketing Research;00222437, 15477193;6,321;Q1;2020;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
190;14816;Trends in Biochemical Sciences;13624326, 03765067, 09680004;6,29;Q1;2020;"Biochemistry (Q1); Molecular Biology (Q1)"
191;15870;Journal of Clinical Investigation;00219738, 15588238;6,278;Q1;2020;Medicine (miscellaneous) (Q1)
192;16929;American Sociological Review;00031224, 19398271;6,277;Q1;2020;Sociology and Political Science (Q1)
193;18000;American Journal of Respiratory and Critical Care Medicine;1073449X, 15354970;6,272;Q1;2020;"Critical Care and Intensive Care Medicine (Q1); Pulmonary and Respiratory Medicine (Q1)"
194;21100201068;Cell Reports;22111247;6,264;Q1;2020;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
