Rank;Sourceid;Title;Issn;SJR;SJR Best Quartile;Year;Categories
1;28773;Ca-A Cancer Journal for Clinicians;15424863, 00079235;72,576;Q1;2018;"Hematology (Q1); Oncology (Q1)"
2;19434;MMWR Recommendations and Reports;10575987, 15458601;48,894;Q1;2018;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
3;21100812243;Nature Reviews Materials;20588437;34,171;Q1;2018;"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
4;29431;Quarterly Journal of Economics;00335533, 15314650;30,49;Q1;2018;Economics and Econometrics (Q1)
5;18991;Nature Reviews Genetics;14710056, 14710064;30,428;Q1;2018;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
6;20315;Nature Reviews Molecular Cell Biology;14710072, 14710080;30,397;Q1;2018;"Cell Biology (Q1); Molecular Biology (Q1)"
7;12464;Nature Reviews Cancer;1474175X, 14741768;28,061;Q1;2018;"Cancer Research (Q1); Oncology (Q1)"
8;58530;National Vital Statistics Reports;15518922, 15518930;27,31;Q1;2018;Life-span and Life-course Studies (Q1)
9;21318;Nature Reviews Immunology;14741741, 14741733;26,208;Q1;2018;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
10;18434;Cell;00928674, 10974172;25,976;Q1;2018;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
11;24404;Journal of Political Economy;00223808, 1537534X;22,902;Q1;2018;Economics and Econometrics (Q1)
12;23340;Chemical Reviews;15206890, 00092665;22,157;Q1;2018;Chemistry (miscellaneous) (Q1)
13;18990;Nature Genetics;10614036, 15461718;21,508;Q1;2018;Genetics (Q1)
14;17437;Nature Reviews Neuroscience;14710048, 1471003X;21,21;Q1;2018;Neuroscience (miscellaneous) (Q1)
15;21100778827;Nature Methods;15487091, 15487105;21,178;Q1;2018;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
16;15847;New England Journal of Medicine;00284793, 15334406;19,524;Q1;2018;Medicine (miscellaneous) (Q1)
17;71056;MMWR Surveillance Summaries;15458636, 15460738;18,375;Q1;2018;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
18;12354;Lancet Oncology, The;14702045, 14745488;18,073;Q1;2018;Oncology (Q1)
19;17500;Journal of Finance;00221082, 15406261;17,973;Q1;2018;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
20;20313;Nature Reviews Microbiology;17401534, 17401526;17,833;Q1;2018;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)"
21;19482;Econometrica;00129682, 14680262;17,635;Q1;2018;Economics and Econometrics (Q1)
22;12137;Journal of Statistical Software;15487660;17,569;Q1;2018;"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
23;16801;Annual Review of Biochemistry;15454509, 00664154;17,5;Q1;2018;Biochemistry (Q1)
24;29719;Reviews of Modern Physics;00346861, 15390756;17,337;Q1;2018;Physics and Astronomy (miscellaneous) (Q1)
25;5200152704;Nature Nanotechnology;17483387, 17483395;17,049;Q1;2018;"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
26;15819;Nature Medicine;1546170X, 10788956;17,007;Q1;2018;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
27;21100812579;Nature Energy;20587546;16,918;Q1;2018;"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
28;17854;Nature Materials;14764660, 14761122;16,524;Q1;2018;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
29;21206;Nature;14764687, 00280836;16,345;Q1;2018;Multidisciplinary (Q1)
30;23350;Chemical Society Reviews;03060012, 14604744;16,116;Q1;2018;Chemistry (miscellaneous) (Q1)
31;16590;Lancet, The;01406736, 1474547X;15,871;Q1;2018;Medicine (miscellaneous) (Q1)
32;17436;Nature Neuroscience;10976256, 15461726;15,852;Q1;2018;Neuroscience (miscellaneous) (Q1)
33;20651;Annual Review of Immunology;15453278, 07320582;15,726;Q1;2018;"Immunology (Q1); Immunology and Allergy (Q1)"
34;20111;"Vital &amp; health statistics. Series 3, Analytical and epidemiological studies / [U.S. Dept. of Health and Human Services, Public Health Service, National Center for Health Statistics]";8864691;14,592;Q1;2018;Medicine (miscellaneous) (Q1)
35;16115;Nature Biotechnology;15461696, 10870156;14,568;Q1;2018;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
36;24202;Review of Economic Studies;00346527, 1467937X;14,499;Q1;2018;Economics and Econometrics (Q1)
37;19900191885;American Economic Journal: Macroeconomics;19457707, 19457715;13,801;Q1;2018;Economics, Econometrics and Finance (miscellaneous) (Q1)
38;24379;Journal of Financial Economics;0304405X;13,636;Q1;2018;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
39;20246;Journal of Labor Economics;0734306X, 15375307;13,59;Q1;2018;"Economics and Econometrics (Q1); Industrial Relations (Q1)"
40;16036;Administrative Science Quarterly;00018392, 19303815;13,521;Q1;2018;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
41;21100826569;Nature Reviews Chemistry;23973358;13,462;Q1;2018;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
42;5700165152;Nature Photonics;17494885;13,456;Q1;2018;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
43;21315;Nature Immunology;15292908, 15292916;13,3;Q1;2018;"Immunology (Q1); Immunology and Allergy (Q1)"
44;23571;Science;10959203, 00368075;13,251;Q1;2018;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
45;17500155114;Energy and Environmental Science;17545692, 17545706;13,103;Q1;2018;"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
46;21100780831;Nature Reviews Disease Primers;2056676X;12,937;Q1;2018;Medicine (miscellaneous) (Q1)
47;12010;Annual Review of Psychology;00664308, 15452085;12,778;Q1;2018;Psychology (miscellaneous) (Q1)
48;19900191906;Academy of Management Annals;19416520, 19416067;12,701;Q1;2018;"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)"
49;14181;Annual Review of Neuroscience;0147006X, 15454126;12,626;Q1;2018;Neuroscience (miscellaneous) (Q1)
50;16161;Review of Financial Studies;14657368, 08939454;12,516;Q1;2018;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
51;24870;Journal of Human Resources;15488004, 0022166X;12,363;Q1;2018;"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
52;16860;Lancet Neurology, The;14744465, 14744422;12,285;Q1;2018;Neurology (clinical) (Q1)
53;19014;Nature Cell Biology;14764679, 14657392;12,137;Q1;2018;Cell Biology (Q1)
54;18606;Molecular Cell;10974164, 10972765;12,076;Q1;2018;"Cell Biology (Q1); Molecular Biology (Q1)"
55;22697;American Economic Review;28282;11,889;Q1;2018;Economics and Econometrics (Q1)
56;24004;Physiological Reviews;15221210, 00319333;11,797;Q1;2018;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
57;29949;Journal of Clinical Oncology;15277755, 0732183X;11,754;Q1;2018;"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
58;26978;Advances in Physics;14606976, 00018732;11,746;Q1;2018;Condensed Matter Physics (Q1)
59;29093;Cancer Cell;15356108, 18783686;11,741;Q1;2018;"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)"
60;73008;Vital and health statistics. Series 2, Data evaluation and methods research;00832057, 23330872;11,594;Q1;2018;"Health Information Management (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)"
61;16721;Annual Review of Plant Biology;15452123, 15435008;11,591;Q1;2018;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
62;19900191767;American Economic Journal: Applied Economics;19457790, 19457782;11,559;Q1;2018;Economics, Econometrics and Finance (miscellaneous) (Q1)
63;6100153018;Cell Stem Cell;19345909;11,434;Q1;2018;"Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)"
64;17978;Neuron;10974199, 08966273;11,377;Q1;2018;Neuroscience (miscellaneous) (Q1)
65;20798;Immunity;10974180, 10747613;11,299;Q1;2018;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
66;20191;Academy of Management Journal;14273;10,755;Q1;2018;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
67;146172;Cell Metabolism;15504131;10,692;Q1;2018;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)"
68;18100156701;Nature Chemistry;17554330, 17554349;10,57;Q1;2018;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
69;120008;Annual Review of Physiology;00664278, 15451585;10,446;Q1;2018;Physiology (Q1)
70;19651;Clinical Microbiology Reviews;08938512, 10986618;10,389;Q1;2018;"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
71;18395;Annual Review of Cell and Developmental Biology;15308995, 10810706;10,329;Q1;2018;"Cell Biology (Q1); Developmental Biology (Q1)"
72;22214;Genome Research;15495469, 10889051;10,205;Q1;2018;"Genetics (Q1); Genetics (clinical) (Q1)"
73;29857;Journal of Accounting Research;1475679X, 00218456;10,151;Q1;2018;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
74;19881;Advanced Materials;09359648, 15214095;10,108;Q1;2018;"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)"
75;21100237403;Lancet Diabetes and Endocrinology,The;22138595, 22138587;10,088;Q1;2018;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
76;19066;Trends in Cell Biology;09628924, 18793088;10,011;Q1;2018;Cell Biology (Q1)
77;12394;Nature Structural and Molecular Biology;15459993, 15459985;10,005;Q1;2018;"Molecular Biology (Q1); Structural Biology (Q1)"
78;40944;Genome Biology;14747596;9,867;Q1;2018;"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
79;24668;Journal of the American Mathematical Society;10886834, 08940347;9,864;Q1;2018;"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
80;19700188417;Annual Review of Condensed Matter Physics;19475454, 19475462;9,658;Q1;2018;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
81;15555;American Journal of Political Science;00925853, 15405907;9,602;Q1;2018;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
82;4000151822;Nature Physics;17452473;9,515;Q1;2018;Physics and Astronomy (miscellaneous) (Q1)
83;20425;Nature Reviews Drug Discovery;14741784, 14741776;9,483;Q1;2018;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
84;17700156734;Nature Reviews Clinical Oncology;17594782, 17594774;9,468;Q1;2018;Oncology (Q1)
85;22657;Accounts of Chemical Research;00014842, 15204898;9,466;Q1;2018;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
86;22471;Lancet Infectious Diseases, The;14744457, 14733099;9,462;Q1;2018;Infectious Diseases (Q1)
87;12000154482;Annual Review of Biophysics;19361238, 1936122X;9,43;Q1;2018;"Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1)"
88;20206;Academy of Management Review;3637425;9,316;Q1;2018;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
89;19897;European Urology;03022838, 1421993X;9,301;Q1;2018;Urology (Q1)
90;22401;Journal of the American College of Cardiology;15583597, 07351097;9,28;Q1;2018;Cardiology and Cardiovascular Medicine (Q1)
91;13443;Psychological Bulletin;00332909, 19391455;9,276;Q1;2018;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
92;24721;Annals of Mathematics;0003486X;9,257;Q1;2018;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
93;22951;Journal of Marketing;15477185, 00222429;9,198;Q1;2018;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
94;27165;Journal of Economic Literature;220515;9,194;Q1;2018;Economics and Econometrics (Q1)
95;21100199127;Advanced Energy Materials;16146832, 16146840;8,9;Q1;2018;"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
96;23157;Strategic Management Journal;10970266, 01432095;8,835;Q1;2018;"Business and International Management (Q1); Strategy and Management (Q1)"
97;5800207366;Nature Protocols;17542189;8,829;Q1;2018;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
98;19700200701;Annual Review of Economics;19411383, 19411391;8,79;Q1;2018;Economics and Econometrics (Q1)
99;14816;Trends in Biochemical Sciences;13624326, 03765067, 09680004;8,695;Q1;2018;"Biochemistry (Q1); Molecular Biology (Q1)"
100;29229;Physics Reports;3701573;8,684;Q1;2018;Physics and Astronomy (miscellaneous) (Q1)
101;14204;Nucleic Acids Research;03051048, 13624962;8,636;Q1;2018;Genetics (Q1)
102;22581;Circulation;00097322, 15244539;8,613;Q1;2018;"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)"
103;21100198409;Nature Climate Change;17586798, 1758678X;8,612;Q1;2018;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
104;28599;Reviews of Geophysics;87551209;8,556;Q1;2018;Geophysics (Q1)
105;19900191884;American Economic Journal: Economic Policy;19457731, 1945774X;8,473;Q1;2018;Economics, Econometrics and Finance (miscellaneous) (Q1)
106;24204;Review of Economics and Statistics;00346535, 15309142;8,363;Q1;2018;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
107;7500153126;Journal of the European Economic Association;15424774, 15424766;8,348;Q1;2018;Economics, Econometrics and Finance (miscellaneous) (Q1)
108;17552;Acta Neuropathologica;00016322, 14320533;8,341;Q1;2018;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
109;11300153736;Annual Review of Pathology: Mechanisms of Disease;15534006, 15534014;8,201;Q1;2018;"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
110;21100369870;Lancet HIV,The;23523018;8,071;Q1;2018;"Epidemiology (Q1); Immunology (Q1); Infectious Diseases (Q1); Virology (Q1)"
111;19700174677;Science Translational Medicine;19466234, 19466242;8,021;Q1;2018;Medicine (miscellaneous) (Q1)
112;21272;Journal of Experimental Medicine;00221007, 15409538;7,941;Q1;2018;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
113;20635;Journal of Management;01492063, 15571211;7,936;Q1;2018;"Finance (Q1); Strategy and Management (Q1)"
114;22126;Genes and Development;15495477, 08909369;7,925;Q1;2018;"Developmental Biology (Q1); Genetics (Q1)"
115;21100228546;JAMA Internal Medicine;21686114, 21686106;7,907;Q1;2018;Internal Medicine (Q1)
116;21100228547;JAMA Psychiatry;21686238, 2168622X;7,867;Q1;2018;"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
117;5300152732;Cell Host and Microbe;19313128;7,822;Q1;2018;"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)"
118;14365;Trends in Ecology and Evolution;01695347, 18728383;7,816;Q1;2018;Ecology, Evolution, Behavior and Systematics (Q1)
119;12812;Personality and Social Psychology Review;10888683, 15327957;7,807;Q1;2018;Social Psychology (Q1)
120;21100212318;Cancer Discovery;21598274, 21598290;7,751;Q1;2018;Oncology (Q1)
121;21100228100;Advances in Optics and Photonics;19438206;7,732;Q1;2018;"Atomic and Molecular Physics, and Optics (Q1); Water Science and Technology (Q1)"
122;15359;Trends in Cognitive Sciences;1879307X, 13646613;7,701;Q1;2018;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
123;21100220495;Lancet Respiratory Medicine,The;22132619, 22132600;7,695;Q1;2018;Pulmonary and Respiratory Medicine (Q1)
124;110092;Morbidity and Mortality Weekly Report;01492195, 1545861X;7,695;Q1;2018;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
125;17899;Progress in Materials Science;18732208, 00796425;7,649;Q1;2018;Materials Science (miscellaneous) (Q1)
126;21706;Annual Review of Genetics;15452948, 00664197;7,608;Q1;2018;Genetics (Q1)
127;21100420583;JAMA Oncology;23742445, 23742437;7,604;Q1;2018;Medicine (miscellaneous) (Q1)
128;17435;EMBO Journal;02614189, 14602075;7,579;Q1;2018;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
129;6200180159;World Psychiatry;17238617;7,559;Q1;2018;Psychiatry and Mental Health (Q1)
130;21100773752;Nature Microbiology;20585276;7,536;Q1;2018;"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1)"
131;19700176402;Cold Spring Harbor perspectives in biology;19430264;7,515;Q1;2018;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
132;27538;Progress in Energy and Combustion Science;3601285;7,508;Q1;2018;"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)"
133;18567;Fungal Diversity;15602745, 18789129;7,501;Q1;2018;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
134;4000148205;Nature Chemical Biology;15524469, 15524450;7,485;Q1;2018;"Cell Biology (Q1); Molecular Biology (Q1)"
135;85291;JAMA - Journal of the American Medical Association;15383598, 00987484, 00029955;7,477;Q1;2018;Medicine (miscellaneous) (Q1)
136;22680;Journal of the American Chemical Society;15205126, 00027863;7,468;Q1;2018;"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)"
137;13456;Psychological Inquiry;15327965, 1047840X;7,43;Q1;2018;Psychology (miscellaneous) (Q1)
138;21191;Pharmacological Reviews;15210081, 00316997;7,422;Q1;2018;"Molecular Medicine (Q1); Pharmacology (Q1)"
139;24769;Materials Today;13697021;7,392;Q1;2018;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
140;28330;Gastroenterology;15280012, 00165085;7,384;Q1;2018;"Gastroenterology (Q1); Hepatology (Q1)"
141;21100265444;Lancet Global Health,The;2214109X;7,367;Q1;2018;Medicine (miscellaneous) (Q1)
142;39139;International Organization;15315088, 00208183;7,363;Q1;2018;"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
143;26574;Annals of Internal Medicine;15393704, 00034819;7,338;Q1;2018;"Internal Medicine (Q1); Medicine (miscellaneous) (Q1)"
144;14599;Ecology Letters;1461023X, 14610248;7,323;Q1;2018;Ecology, Evolution, Behavior and Systematics (Q1)
145;28677;Living Reviews in Relativity;14338351, 23673613;7,304;Q1;2018;Physics and Astronomy (miscellaneous) (Q1)
146;4600151524;Annual Review of Clinical Psychology;15485951, 15485943;7,291;Q1;2018;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
147;21100326898;Acta Crystallographica Section A: Foundations and Advances;20532733;7,285;Q1;2018;"Biochemistry (Q1); Condensed Matter Physics (Q1); Inorganic Chemistry (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Structural Biology (Q1)"
148;20278;Microbiology and Molecular Biology Reviews;10985557, 10922172;7,278;Q1;2018;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1); Molecular Biology (Q1)"
149;17555;Journal of Monetary Economics;3043932;7,248;Q1;2018;"Economics and Econometrics (Q1); Finance (Q1)"
150;17600155130;NCHS data brief;19414927, 19414935;7,146;Q1;2018;Medicine (miscellaneous) (Q1)
151;12216;Molecular Biology and Evolution;15371719, 07374038;7,124;Q1;2018;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)"
