Rank;Sourceid;Title;Issn;SJR;SJR Best Quartile;Year;Categories
1;28773;Ca-A Cancer Journal for Clinicians;15424863, 00079235;61,786;Q1;2017;"Hematology (Q1); Oncology (Q1)"
2;18991;Nature Reviews Genetics;14710056, 14710064;34,896;Q1;2017;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
3;19434;MMWR Recommendations and Reports;10575987, 15458601;34,638;Q1;2017;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
4;58530;National Vital Statistics Reports;15518922, 15518930;33,557;Q1;2017;Life-span and Life-course Studies (Q1)
5;20315;Nature Reviews Molecular Cell Biology;14710072, 14710080;32,714;Q1;2017;"Cell Biology (Q1); Molecular Biology (Q1)"
6;29431;Quarterly Journal of Economics;00335533, 15314650;29,602;Q1;2017;Economics and Econometrics (Q1)
7;21318;Nature Reviews Immunology;14741741, 14741733;28,786;Q1;2017;"Immunology (Q1); Medicine (miscellaneous) (Q1)"
8;21100812243;Nature Reviews Materials;20588437;28,63;Q1;2017;"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
9;18434;Cell;00928674, 10974172;25,137;Q1;2017;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
10;12464;Nature Reviews Cancer;1474175X, 14741768;23,53;Q1;2017;"Cancer Research (Q1); Oncology (Q1)"
11;23340;Chemical Reviews;15206890, 00092665;23,414;Q1;2017;Chemistry (miscellaneous) (Q1)
12;18990;Nature Genetics;10614036, 15461718;22,243;Q1;2017;Genetics (Q1)
13;20651;Annual Review of Immunology;15453278, 07320582;21,681;Q1;2017;"Immunology (Q1); Immunology and Allergy (Q1)"
14;20089;Vital and health statistics. Series 10, Data from the National Health Survey;831972;20,768;Q1;2017;"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Statistics and Probability (Q1)"
15;5200152704;Nature Nanotechnology;17483387, 17483395;20,612;Q1;2017;"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
16;21100778827;Nature Methods;15487091, 15487105;19,939;Q1;2017;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
17;19482;Econometrica;00129682, 14680262;19,932;Q1;2017;Economics and Econometrics (Q1)
18;15847;New England Journal of Medicine;00284793, 15334406;19,476;Q1;2017;Medicine (miscellaneous) (Q1)
19;16801;Annual Review of Biochemistry;15454509, 00664154;18,513;Q1;2017;Biochemistry (Q1)
20;17500;Journal of Finance;00221082, 15406261;18,318;Q1;2017;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
21;17854;Nature Materials;14764660, 14761122;18,263;Q1;2017;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
